sessiontime,pilot_index,worldpositionz,speed,throttle,steer,brake,gear,enginerpm,enginetemperature,fuelintank,currentlaptime,currentlapnum,lapdistance,totaldistance,worldpositionx,worldpositiony,lat,lon
525.50281,10,-647.30249,166,1.0,0.07724,0.0,4,10339,89,50.39735,22.04614,6,1495.44141,24121.99609,504.88654,0.3051,-33.460739938380904,-70.68217338606121
525.56061,10,-644.71869,169,1.0,0.02264,0.0,4,10490,89,50.39537,22.10399,6,1498.07422,24124.62891,504.12985,0.30472,-33.4607399418009,-70.68215846641411
525.60815,10,-642.56915,171,1.0,0.0285,0.0,4,10613,89,50.39373,22.15168,6,1500.27539,24126.83008,503.47327,0.30552,-33.4607399346009,-70.6821455210693
525.66534,10,-639.95862,173,1.0,0.05062,0.0,4,10720,89,50.39174,22.20873,6,1502.97656,24129.53125,502.64371,0.30351,-33.460739952690915,-70.682129164033
525.71332,10,-637.74896,175,1.0,0.01054,0.0,4,10845,89,50.39007,22.25677,6,1505.27539,24131.83008,501.91891,0.30447,-33.46073994405091,-70.68211487366986
525.76947,10,-635.12878,177,1.0,0.0148,0.0,4,10982,89,50.38807,22.31329,6,1508.00781,24134.5625,501.04425,0.30448,-33.46073994396091,-70.68209762818285
525.81573,10,-632.95312,179,1.0,0.025,0.0,4,11093,89,50.38641,22.35942,6,1510.27734,24136.83203,500.30634,0.30334,-33.46073995422092,-70.6820830785263
525.87213,10,-630.27179,182,1.0,0.03689,0.0,4,11229,89,50.38437,22.41579,6,1513.08203,24139.63672,499.38242,0.30348,-33.460739952960914,-70.68206486184022
525.91803,10,-628.06805,183,1.0,0.03525,0.0,4,11334,89,50.38269,22.46186,6,1515.39062,24141.94531,498.61029,0.30317,-33.46073995575092,-70.68204963779378
525.97424,10,-625.3468,186,1.0,0.0322,0.0,4,11473,89,50.38062,22.51773,6,1518.24805,24144.80273,497.64069,0.30487,-33.46073994045091,-70.68203052104143
526.02203,10,-623.01599,187,1.0,0.0318,0.0,4,11579,89,50.37885,22.56554,6,1520.70117,24147.25586,496.79544,0.3036,-33.46073995188092,-70.6820138549358
526.07715,10,-620.30133,189,1.0,0.02965,0.0,4,11696,89,50.37677,22.62104,6,1523.56445,24150.11914,495.79303,0.30198,-33.46073996646093,-70.68199409000604
526.13214,10,-617.57379,191,1.0,0.0279,0.0,4,11817,89,50.3747,22.67595,6,1526.44922,24153.00391,494.767,0.30244,-33.46073996232093,-70.68197386016055
526.18604,10,-614.88739,192,0.70237,0.02738,0.0,5,10448,89,50.37436,22.73009,6,1529.29883,24155.85352,493.73862,0.30223,-33.46073996421093,-70.68195358372483
526.23975,10,-612.19855,193,0.618,0.0253,0.0,5,10222,89,50.37276,22.78386,6,1532.1582,24158.71289,492.69193,0.30185,-33.46073996763093,-70.68193294621001
526.2937,10,-609.49152,194,0.70308,0.02349,0.0,5,10283,89,50.37106,22.83769,6,1535.04297,24161.59766,491.62109,0.30182,-33.460739967900935,-70.68191183266812
526.34705,10,-606.80487,195,0.78773,0.02287,0.0,5,10321,89,50.36932,22.89124,6,1537.91016,24164.46484,490.54239,0.30174,-33.460739968620935,-70.68189056413324
